"","Gene","CcSP_neg.lfc","CcDN_neg.lfc","CcDP_neg.lfc","BeadSP_neg.lfc","BeadDN_neg.lfc","BeadDP_neg.lfc"
"22","PLET1",-1.5269,-2.6402,-1.1754,0.16316,-0.067611,0.23857
"23","RHOC",-0.31176,-1.2645,-5.9784,-0.66529,-0.23683,-0.91866
"24","MELTF",-3.2233,-4.6294,-1.2308,-0.11555,-0.02793,-0.061796
"25","GNB2L1",-2.5073,-0.8604,-4.9147,-1.3231,-0.60467,-0.40989
"26","DAO",-0.34437,-0.64313,-3.305,0.026432,-0.26119,-0.60262
"27","CX3CL1",-1.4976,-0.64781,-6.9473,0.33145,0.15201,0.68571
"28","SMPD3",-1.7791,-2.0449,-3.6822,-0.26917,-0.35747,0.15481
"29","CD160",-1.9586,-0.024639,-1.1316,-0.2484,-0.37132,-0.25417
"30","BPNT2",-1.6069,-1.7931,-2.0334,-0.04488,0.48024,0.40302
"31","PSMB5",-2.5913,-1.6165,-5.1367,0.0096734,-0.23962,0.77629
"32","TERC",-2.4823,-2.2087,-2.5657,-0.54467,-0.47792,-1.2977
"33","C16orf93",-2.6966,-2.6274,-6.853,-0.90597,-0.80994,-0.33786
"34","IL15",-1.4839,-0.80669,-2.964,0.74462,0.068204,0.38604
"35","ITGAX",-0.77225,-0.75182,-0.27726,-0.023465,-0.15001,0.21385
"36","DNM1",-3.1308,-2.3335,-3.7005,0.33072,0.50549,0.77439
"37","NTRK1",-2.0968,-1.7422,-0.45402,-0.51392,0.53764,0.24947
"38","GGTLC2",-2.5868,-2.0653,-4.1407,-0.49273,-0.0023268,0.10319
"39","ENG",-2.8013,-1.2155,-1.1085,-0.18024,0.066522,-0.63036
"40","CD63",-2.5128,-2.1684,-3.1929,0.13586,0.5148,-0.2301
"41","SPI1",-2.2245,-1.5821,-0.039136,-0.56375,-0.60316,0.24052
"42","BACE1",-2.674,-0.47698,-2.1851,-0.12297,-0.031101,-0.17598
"43","PSMD4",-1.1844,-0.69279,-0.99179,-0.40534,0.057106,0.076245
"44","EPHA1",-2.6914,-1.8232,-0.86334,-0.58126,-0.062605,-0.3864
"45","TSPAN13",-0.79031,-1.3377,-0.31319,0.42203,0.083622,-0.053638
"46","TRAF3IP2",-2.3302,-1.1587,0.044955,0.033517,0.084298,-0.31673
"47","PTMS",-2.8748,-2.1976,-3.9844,-0.66929,-0.41653,-0.5524
"48","EEF2",-1.409,-1.8182,0.8962,-0.77566,-1.0967,-1.8523
"49","CHST7",-0.083605,-0.59484,-4.3595,0.48286,0.019971,0.69865
"50","RIPK1",-2.43,-1.8557,-1.8532,-0.48385,-0.29466,0.42057
"51","PSMA4",-1.2269,0.14391,-0.92226,-1.4609,-0.51082,-0.28196
"52","LCK",-1.8772,-2.1544,-1.8594,-0.6833,-0.12919,-0.95014
"53","CSF1",0.087892,0.46945,2.0068,0.011376,-0.51927,-0.18588
"54","MEN1",-2.4608,-2.7675,-6.8741,-1.6965,-0.85229,-1.4879
"55","CASD1",-0.80483,0.77088,-0.2048,-0.15847,0.12878,-0.4705
"56","FURIN",-1.2682,0.27845,-1.3281,-0.5003,0.25653,-0.50534
"57","WNT1",-2.1045,-4.6875,-2.7445,-0.49706,-0.36871,-0.88792
"58","PSMD11",-2.7943,-3.7838,-2.8731,-0.34192,-0.0069992,-0.41894
"59","WNT5A",-2.5672,-0.040249,-2.7066,0.26159,-0.23883,0.44963
"60","TSPAN31",0.066712,-1.356,-0.69445,-0.50564,-0.067356,-0.22124
"61","SLC34A1",-1.7936,-4.0277,-0.44425,0.38927,-0.053759,-0.48294
"62","NE_97",-5.0686,-7.285,-2.6054,-0.32713,-0.38979,-0.58358
